0	-7.548403366
0.01	-8.388164334
0.02	-8.013281809
0.03	-7.947123363
0.04	-7.62924988
0.05	-7.72858076
0.06	-8.613372889
0.07	-7.383518008
0.08	-7.791903828
0.09	-7.72068571
0.1	-7.647222611
0.11	-7.677940409
0.12	-7.896538033
0.13	-8.239274575
0.14	-7.867329531
0.15	-7.908636453
0.16	-7.264878048
0.17	-6.457604403
0.18	-7.989518757
0.19	-7.198343462
0.2	-7.384411053
0.21	-7.50286304
0.22	-7.184936997
0.23	-7.303897375
0.24	-7.462120447
0.25	-8.144592775
0.26	-7.869344347
0.27	-6.766493816
0.28	-7.037803134
0.29	-7.185172512
0.3	-6.738368759
0.31	-7.15617418
0.32	-7.321397673
0.33	-7.490287031
0.34	-7.574672491
0.35	-7.339731183
0.36	-8.034498602
0.37	-7.403092517
0.38	-6.553801864
0.39	-7.305313085
0.4	-7.111695409
0.41	-7.042921983
0.42	-6.060295622
0.43	-7.663764717
0.44	-7.800384748
0.45	-6.779831284
0.46	-6.669545666
0.47	-7.331979953
0.48	-7.498967057
0.49	-7.114633574
0.5	-7.356833351
0.51	-6.731387473
0.52	-6.859419491
0.53	-8.605881428
0.54	-6.858024539
0.55	-7.392755332
0.56	-7.255563481
0.57	-6.748645865
0.58	-7.150185612
0.59	-7.489246391
0.6	-6.899115962
0.61	-7.153091373
0.62	-6.977084675
0.63	-7.580021451
0.64	-6.273443399
0.65	-6.817008952
0.66	-6.622646688
0.67	-7.262266415
0.68	-6.718718853
0.69	-5.978298187
0.7	-6.641231231
0.71	-6.017801341
0.72	-6.2773688
0.73	-6.451935598
0.74	-6.511394559
0.75	-6.642031902
0.76	-5.990163798
0.77	-6.188557424
0.78	-7.104124356
0.79	-5.722669758
0.8	-6.383938101
0.81	-6.015163639
0.82	-6.104876178
0.83	-5.711228777
0.84	-6.794904176
0.85	-6.393991417
0.86	-6.434337783
0.87	-5.523038214
0.88	-5.079055004
0.89	-6.3996
0.9	-5.979508852
0.91	-6.879776221
0.92	-6.220604543
0.93	-6.605618515
0.94	-5.889124045
0.95	-5.089403083
0.96	-6.096698172
0.97	-5.86620375
